Dist_H,Ang_H,Ang_V
10.805,3.577924967,1.588249619
10.68,3.543018382,1.623156204
10.53,3.612831552,1.623156204
10.444,3.455751919,1.623156204
10.276,3.420845334,1.588249619
7.312,3.543018382,1.605702912
7.482,3.595378259,1.640609497
7.689,3.630284844,1.658062789
7.95,3.682644722,1.640609497
8.18,3.735004599,1.588249619
